state,county,vet population,latitude,longitude
Alabama,Morgan,9911,39.543584378544,-78.2454377061067
Alabama,Perry,729,35.6321349417783,-87.8476680879162
Alabama,Pickens,1585,34.8465651806772,-82.7100658493911
Alabama,Pike,2278,41.3431151092944,-75.0249616717353
Alabama,Randolph,1769,38.7522148406934,-79.8149772898953
Alabama,Russell,5405,36.926085133816,-82.0934895832316
Alabama,St. Clair,7846,38.0196325184789,-93.784425936552
Alabama,Shelby,14464,31.7757907112262,-94.1542893169729
Alabama,Sumter,777,33.9064013703574,-80.2699597762764
Alabama,Talladega,7131,33.4008208316446,-86.1489334772255
Alabama,Tallapoosa,3746,32.8000439573199,-85.8011468645588
Alabama,Tuscaloosa,14267,33.3066244575411,-87.453283268952
Alabama,Walker,6228,30.7812691772057,-95.5953866362423
Alabama,Washington,1600,43.3678371717658,-88.2292533995712
Alabama,Wilcox,668,31.9902751277123,-83.3950394827341
Alabama,Winston,1895,33.1062321712317,-89.0658211976073
Alaska,Aleutians East Borough,164,,
Alaska,Aleutians West Census Area,390,,
Alaska,Anchorage Municipality,30563,,
Alaska,Bethel Census Area,1027,,
Alaska,Bristol Bay Borough,150,,
Alaska,Denali Borough,255,,
Alaska,Dillingham Census Area,314,,
Alaska,Fairbanks North Star Borough,12552,,
Alaska,Haines Borough,296,,
Alaska,Hoonah-Angoon,216,58.0634880085452,-135.198165628712
Alaska,Juneau City and Borough,2412,,
Alaska,Kenai Peninsula Borough,5607,,
Alaska,Ketchikan Gateway Borough,1545,,
Alaska,Kodiak Island Borough,1400,,
Alaska,Lake and Peninsula Borough,137,,
Alaska,Matanuska-Susitna Borough,10799,,
Alaska,Nome Census Area,695,,
Alaska,North Slope Borough,392,,
Alaska,Northwest Arctic Borough,488,,
Alaska,Petersburg,436,37.2048744023942,-77.3928705239341
Alaska,Prince of Wales-Hyder,586,,
Alaska,Sitka City and Borough,877,,
Alaska,Skagway,93,59.5703388176671,-135.359809624599
Alaska,Southeast Fairbanks Census Area,772,,
Alaska,Valdez-Cordova Census Area,1144,,
Alaska,Wade Hampton Census Area,285,,
Alaska,Wrangell,291,,
Alaska,Yakutat City and Borough,94,,
Alaska,Yukon-Koyukuk Census Area,535,,
Arizona,Apache,4436,35.2388078434629,-109.521427841273
Arizona,Cochise,22106,31.8799004034928,-109.754304784501
Arizona,Coconino,9363,35.6333287825785,-112.050197471854
Arizona,Gila,6137,33.7292173055971,-110.858415468276
Arizona,Graham,2900,35.3419461120029,-83.8120234317911
Arizona,Greenlee,1150,33.1018194232536,-109.269372796838
Arizona,La Paz,2810,33.6716830019761,-114.033761082408
Arizona,Maricopa,276031,33.2771620628605,-112.187183909047
Arizona,Mohave,25655,35.6059314951399,-113.647459329524
Arizona,Navajo,7456,35.2881229608524,-110.288551889554
Arizona,Pima,90717,31.9703114520401,-111.894032933454
Arizona,Pinal,36079,32.9867508160115,-111.326909083476
Arizona,Santa Cruz,2064,37.052508271897,-121.948837423414
Arizona,Yavapai,26248,34.7045607384106,-112.406362208556
Arizona,Yuma,18757,40.0059358577761,-102.425530394681
Arkansas,Arkansas,1539,34.2527880369121,-91.3839319666814
Arkansas,Ashley,1758,33.2020284837489,-91.800515931135
Arkansas,Baxter,5903,36.2360691062273,-92.3734656334651
Arkansas,Benton,18651,46.2799146812113,-119.406369149113
Arkansas,Boone,3646,37.9970439094516,-81.7179040406277
Arkansas,Bradley,1089,35.1723526401562,-84.8619830157475
Arkansas,Calhoun,512,38.8284119076434,-81.1317266043275
Arkansas,Carroll,2733,36.7448921084704,-80.7481413696554
Arkansas,Chicot,949,33.2838253351466,-91.2521370398572
Arkansas,Clark,1630,44.7281848079699,-90.6191614049577
Arkansas,Clay,1513,38.4658258646504,-81.0505297298349
Arkansas,Cleburne,3218,35.5353386677526,-92.0213074322184
Arkansas,Cleveland,739,35.1538762524033,-97.4063473359325
Arkansas,Columbia,1619,43.4640334688864,-89.3964084723273
Arkansas,Conway,1818,35.2689448596454,-92.7597673863491
Arkansas,Craighead,7276,35.8481266276208,-90.6617597652211
Arkansas,Crawford,5723,43.2054434227805,-90.9409490184026
Arkansas,Crittenden,3730,37.3386692522355,-88.0796591578951
Arkansas,Cross,1126,35.2945479364986,-90.7725555003662
Arkansas,Dallas,745,32.7675725165029,-96.778949453589
Arkansas,Desha,1029,33.818204765305,-91.2147384794381
Arkansas,Drew,1578,33.5902135413602,-91.7327185408566
Arkansas,Faulkner,9707,35.1045611350139,-92.3570272610019
Arkansas,Franklin,1733,46.4662162357936,-118.833765841647
Arkansas,Fulton,1220,39.9435689819559,-78.1226424328593
Arkansas,Garland,10528,34.581272944937,-93.0994937505875
Arkansas,Grant,1482,42.8594567408292,-90.79175476133
Arkansas,Greene,3080,38.330031091792,-78.4744288915601
Arkansas,Hempstead,1468,33.7429159493164,-93.7104532604679
Arkansas,Hot Spring,3177,34.329217900502,-93.0364799894787
Arkansas,Howard,977,32.3045583587908,-101.436488318148
Arkansas,Independence,3196,35.7345310002518,-91.5347261621677
Arkansas,Izard,1465,36.0643183057649,-91.944710380665
Arkansas,Jackson,1223,44.3337999890057,-90.7391567859813
Arkansas,Jefferson,6480,43.0202505514008,-88.7746324063234
Arkansas,Johnson,1876,44.0278576537599,-106.688548320124
Arkansas,Lafayette,673,42.6596644314249,-90.1321801503036
Arkansas,Lawrence,1396,35.2287504692373,-87.4016852551118
Arkansas,Lee,751,36.7434921623585,-83.2232460955687
Arkansas,Lincoln,1236,42.4470341685537,-110.546086391476
Arkansas,Little River,1063,33.7429159493164,-94.1570290457167
Arkansas,Logan,2141,37.8330502220527,-81.9024969351024
Arkansas,Lonoke,7493,34.7791677750023,-91.8775129672918
Arkansas,Madison,1113,38.4286272965331,-78.2678368438978
Arkansas,Marion,2670,39.5125855717795,-80.2165618317209
Arkansas,Miller,3671,38.2223724455244,-92.4392191233177
Arkansas,Mississippi,3415,36.8182892831965,-89.3104117825937
Arkansas,Monroe,734,43.941815077662,-90.6451604041795
Arkansas,Montgomery,942,37.1740755879315,-80.3957549340495
Arkansas,Nevada,853,39.2689488256783,-120.641986812593
Arkansas,Newton,752,30.7155156873531,-93.7104532604679
Arkansas,Ouachita,2495,32.4906558665807,-92.1599020973006
Arkansas,Perry,973,35.6321349417783,-87.8476680879162
Arkansas,Phillips,1386,48.2251220893505,-108.036494862102
Arkansas,Pike,999,41.3431151092944,-75.0249616717353
Arkansas,Poinsett,1895,35.5735371973785,-90.6629597190313
Arkansas,Polk,2113,45.4689549730292,-92.5214109856334
Arkansas,Pope,5230,45.5867633090151,-95.4447015553301
Arkansas,Prairie,854,46.8607371749092,-105.346081235633
Arkansas,Pulaski,32808,37.0620798989761,-80.7237423088473
Arkansas,Randolph,1559,38.7522148406934,-79.8149772898953
Arkansas,St. Francis,1821,35.0077589758522,-90.7765553464003
Arkansas,Saline,10556,40.5237445903653,-97.1405936477783
Arkansas,Scott,1020,36.739692308626,-82.6394685668889
Arkansas,Searcy,844,35.9182605719397,-92.6803152527772
Arkansas,Sebastian,10647,35.1894927260735,-94.2392209080325
Arkansas,Sevier,1121,38.7730579230399,-111.907731577174
Arkansas,Sharp,2162,36.1941133095721,-91.4845280944395
Arkansas,Stone,1193,36.7456586525849,-93.455658487289
Arkansas,Union,3569,36.2983092987609,-83.8358225156941
Arkansas,Van Buren,1963,35.677933178869,-85.4343609832301
Arkansas,Washington,13238,43.3678371717658,-88.2292533995712
Arkansas,White,6698,35.9243236945708,-85.4475604751427
Arkansas,Woodruff,589,35.1791523784143,-91.2579368166066
Arkansas,Yell,1505,35.0305884589297,-93.302233677633
California,Alameda,60309,37.690865069216,-121.924179864719
California,Alpine,148,38.6305920283593,-119.809109274461
California,Amador,4361,38.463468574984,-120.551575764046
California,Butte,17800,44.893611936819,-103.507723248505
California,Calaveras,5593,38.1703175993911,-120.507740104144
California,Colusa,1183,39.1538802184362,-122.291303516396
California,Contra Costa,55291,37.9073036399808,-121.992673083316
California,Del Norte,2539,41.6908690352489,-123.976236693869
California,El Dorado,15224,38.7840168380154,-120.510479832888
California,Fresno,44206,36.7456586525849,-119.639246092341
California,Glenn,1849,39.5922368174535,-122.395413208663
California,Humboldt,10366,41.2607316224631,-118.170751485633
California,Imperial,7589,33.0251070184255,-115.288556847095
California,Inyo,1552,36.627850316599,-117.217325882771
California,Kern,47015,35.2936024183401,-118.913217975219
California,Kings,12006,40.6443420071337,-73.9444032656178
California,Lake,6658,36.3443075281533,-89.5198037224799
California,Lassen,3559,40.4442924567934,-120.663904642544
California,Los Angeles,319623,33.7922310667058,-118.31047765157
California,Madera,8313,37.2716865714057,-119.781711987022
California,Marin,12859,38.0662079071245,-122.740619030389
California,Mariposa,2134,37.5429197170476,-119.850205205618
California,Mendocino,6858,39.3812777041764,-123.477606062487
California,Merced,11428,37.1894947090899,-120.63924708385
California,Modoc,956,41.5894990717261,-120.724178674909
California,Mono,1150,38.0881257370754,-118.735135606868
California,Monterey,19872,36.3483979847255,-121.132398257744
California,Napa,9909,38.5100439636295,-122.348837820017
California,Nevada,8991,39.2689488256783,-120.641986812593
California,Orange,127012,38.255233970954,-78.036445750824
California,Placer,29673,39.0141540524994,-120.743356776116
California,Plumas,2058,40.0223742302392,-120.803630808481
California,Riverside,133476,33.7538748642918,-116.055680895375
California,Sacramento,92449,38.3785369839244,-121.444727334544
California,San Benito,2680,36.589494114185,-121.118699614025
California,San Bernardino,112720,34.8415471756035,-115.962530118084
California,San Diego,226852,33.016887832194,-116.84746250235
California,San Francisco,26336,37.786755575251,-122.729660115413
California,San Joaquin,35836,37.8908652675176,-121.25020659373
California,San Luis Obispo,20986,35.3483969932172,-120.455685258011
California,San Mateo,28683,37.38127572116,-122.326919990066
California,Santa Barbara,23619,34.271683596881,-119.855684663106
California,Santa Clara,61596,37.1922344378338,-121.702261836467
California,Santa Cruz,12059,37.052508271897,-121.948837423414
California,Shasta,16512,40.7347037036424,-122.198152739105
California,Sierra,410,33.0442851196325,-107.168000850299
California,Siskiyou,4284,41.4990880231788,-122.581714763245
California,Solano,33923,38.3018245790963,-122.000892269547
California,Sonoma,29624,38.463468574984,-122.98993434608
California,Stanislaus,26145,37.6086732069002,-120.929658330699
California,Sutter,6906,39.0168937812433,-121.677604277772
California,Tehama,5720,40.1210044650181,-122.203632196593
California,Trinity,1526,31.1072968977248,-95.1378519360179
California,Tulare,18486,36.2662061224097,-118.776231538026
California,Tuolumne,6301,38.0333311621982,-119.924177881703
California,Ventura,43665,34.0333271961653,-119.129656545984
California,Yolo,9613,38.6196331133839,-121.957056609645
California,Yuba,6314,39.2826474693975,-121.318699812326
Colorado,Adams,29016,43.9454149390927,-89.8131924290826
Colorado,Alamosa,1013,37.5538786320231,-105.748821360981
Colorado,Arapahoe,42805,39.6525108498184,-104.381696717795
Colorado,Archuleta,968,37.2086728102969,-106.978959566973
Colorado,Baca,370,37.3182619600513,-102.565256560617
Colorado,Bent,558,37.9538790286263,-103.074846106975
Colorado,Boulder,16584,40.0881277200918,-105.362519608097
Colorado,Broomfield,3221,39.9730591128498,-105.055669988784
Colorado,Chaffee,1915,38.7374414493698,-106.239232806131
Colorado,Cheyenne,154,41.2196356913053,-102.998133702147
Colorado,Clear Creek,865,39.7073054246956,-105.661150041177
Colorado,Conejos,577,37.2004536240654,-106.198136874973
Colorado,Costilla,321,37.3264811462828,-105.463889571619
Colorado,Crowley,540,38.3182629515595,-103.778956394147
Colorado,Custer,493,43.6662134595706,-103.370736811312
Colorado,Delta,3085,33.3401758239692,-95.5844277212668
Colorado,Denver,31460,39.7593602708289,-104.855669790483
Colorado,Dolores,189,37.6881253404721,-108.452933631169
Colorado,Douglas,20307,46.5251156387982,-91.9215112736671
Colorado,Eagle,2167,39.6442916635868,-106.647452388966
Colorado,Elbert,2285,34.1225930485015,-82.8334610995437
Colorado,El Paso,76481,31.6963385776543,-106.294027381008
Colorado,Fremont,6844,43.1347060832621,-108.787180537919
Colorado,Garfield,3587,46.3484078998077,-117.546093332034
Colorado,Gilpin,416,39.8388124044007,-105.543341705191
Colorado,Grand,1045,39.0004554087802,-109.614578618564
Colorado,Gunnison,979,38.7018249756996,-106.940603364559
Colorado,Hinsdale,74,37.7840158465071,-107.285809186285
Colorado,Huerfano,958,37.6552485955458,-104.915943822848
Colorado,Jackson,158,44.3337999890057,-90.7391567859813
Colorado,Jefferson,41833,43.0202505514008,-88.7746324063234
Colorado,Kiowa,123,34.8552458193228,-99.0145681085772
Colorado,Kit Carson,663,39.3073050280923,-102.606352491775
Colorado,Lake,521,36.3443075281533,-89.5198037224799
Colorado,La Plata,4194,37.3210016887951,-107.932385169835
Colorado,Larimer,21606,40.6305940113758,-105.567999263886
Colorado,Las Animas,1419,37.4059332798547,-104.115943029641
Colorado,Lincoln,579,42.4470341685537,-110.546086391476
Colorado,Logan,1730,37.8330502220527,-81.9024969351024
Colorado,Mesa,14027,38.9347019189276,-108.228275874172
Colorado,Mineral,96,39.4431882430875,-78.9644100307398
Colorado,Moffat,1195,40.6114159101687,-108.181700485527
Colorado,Montezuma,2393,37.3210016887951,-108.507728206046
Colorado,Montrose,3614,38.4086740001068,-108.280330720305
Colorado,Morgan,1766,39.543584378544,-78.2454377061067
Colorado,Otero,1720,32.6963395691626,-105.611834923788
Colorado,Ouray,424,38.1182627532578,-107.820056291337
Colorado,Park,1801,44.4004607629246,-109.803619901891
Colorado,Phillips,319,48.2251220893505,-108.036494862102
Colorado,Pitkin,930,39.1730583196432,-106.946082822047
Colorado,Prowers,782,37.9538790286263,-102.395393378498
Colorado,Pueblo,16103,38.1292216682333,-104.551559899915
Colorado,Rio Blanco,577,39.9429220966674,-108.044714048334
Colorado,Rio Grande,1086,18.375777425016,-65.7953570892972
Colorado,Routt,1303,40.4607308292565,-107.03375414185
Colorado,Saguache,461,38.096344923307,-106.228273891156
Colorado,San Juan,86,18.4113938986862,-66.0638505061953
Colorado,San Miguel,392,35.4579861429716,-104.677587422132
Colorado,Sedgwick,278,37.690865069216,-97.4803200120167
Colorado,Summit,1257,40.9018271570177,-110.820059265862
Colorado,Teller,2991,38.8908662590258,-105.135122122356
Colorado,Washington,419,43.3678371717658,-88.2292533995712
Colorado,Weld,18757,40.4990870316706,-104.315943227943
Colorado,Yuma,732,40.0059358577761,-102.425530394681
Connecticut,Fairfield,40593,34.3731834025391,-81.0965279592272
Connecticut,Hartford,53891,41.7918978343226,-72.7194504176687
Connecticut,Litchfield,14707,41.7592990891446,-73.2026318185903
Connecticut,Middlesex,12120,37.6452574507507,-76.4459069753563
Connecticut,New Haven,48907,41.3657142393872,-72.9276424037446
Connecticut,New London,25397,41.4645104364299,-72.1272732123173
Connecticut,Tolland,10066,41.8112970875881,-72.3088662222663
Connecticut,Windham,9635,42.9946515367824,-72.721250348384
Delaware,Kent,19104,33.1812715568255,-100.778953419622
Delaware,New Castle,37061,39.5645835702231,-75.5971396469161
Delaware,Sussex,22523,36.9096857650761,-77.2862746271248
 District of Columbia,District of Columbia,31839,38.8936093979995,-77.0146850814081
Florida,Alachua,17499,29.6789640968963,-82.3570794368801
Florida,Baker,2596,44.6689541798227,-117.6502030243
Florida,Bay,22162,43.7378229299219,-83.9334187589266
Florida,Bradford,4028,41.771898604152,-76.5213040730995
Florida,Brevard,66291,28.3064169302881,-80.6861437561266
Florida,Broward,88171,26.1453001180532,-80.4483529093982
Florida,Calhoun,1198,38.8284119076434,-81.1317266043275
Florida,Charlotte,19712,36.9732833170186,-78.6740212086627
Florida,Citrus,25730,28.8587956676,-82.5086736015732
Florida,Clay,27955,38.4658258646504,-81.0505297298349
Florida,Collier,27870,26.1445001488464,-81.3893166889248
Florida,Columbia,7672,43.4640334688864,-89.3964084723273
Florida,DeSoto,2499,34.8537649035386,-90.016984584521
Florida,Dixie,1610,29.5375695395901,-83.2006469654759
Florida,Duval,97038,27.6607181379513,-98.5186772059389
Florida,Escambia,40899,30.6141280996735,-87.2756901050371
Florida,Flagler,11394,29.4659722955794,-81.2847207151326
Florida,Franklin,1496,46.4662162357936,-118.833765841647
Florida,Gadsden,3806,30.5499305708258,-84.6073928156758
Florida,Gilchrist,1566,29.7473614640797,-82.8146618231834
Florida,Glades,991,26.9896676158559,-81.2181232786645
Florida,Gulf,1772,29.9025554902036,-85.2453682581179
Florida,Hamilton,1221,31.7182564076052,-98.1159370805918
Florida,Hardee,1493,27.4924482623447,-81.8095005148091
Florida,Hendry,1890,26.6060823811838,-81.2229230939055
Florida,Hernando,21700,28.5642070071871,-82.4166771427885
Florida,Highlands,10182,27.3394541515397,-81.2537219083682
Florida,Hillsborough,94208,42.9520531765191,-71.6538914341792
Florida,Holmes,2011,40.5561454020814,-81.934695695677
Florida,Indian River,14449,27.7090399250923,-80.5725481287576
Florida,Jackson,5000,44.3337999890057,-90.7391567859813
Florida,Jefferson,1431,43.0202505514008,-88.7746324063234
Florida,Lafayette,713,42.6596644314249,-90.1321801503036
Florida,Lake,32674,36.3443075281533,-89.5198037224799
Florida,Lee,55153,36.7434921623585,-83.2232460955687
Florida,Leon,18603,31.296338181051,-95.987167846614
Florida,Levy,4577,29.2529804942625,-82.8216615537431
Florida,Liberty,641,30.1867480397885,-94.8036050292673
Florida,Madison,1852,38.4286272965331,-78.2678368438978
Florida,Manatee,30728,27.4272507719886,-82.4386762959761
Florida,Marion,45806,39.5125855717795,-80.2165618317209
Florida,Martin,14406,32.3045583587908,-101.951557321993
Florida,Miami-Dade,63517,25.5585227048479,-80.4585525167852
Florida,Monroe,8061,43.941815077662,-90.6451604041795
Florida,Nassau,8770,40.7547377576754,-73.6018164527955
Florida,Okaloosa,31890,30.6611262905744,-86.5947163177282
Florida,Okeechobee,3213,27.3010556296121,-80.9455337714392
Florida,Orange,68945,38.255233970954,-78.036445750824
Florida,Osceola,17289,43.989413245468,-85.3259651557054
Florida,Palm Beach,80943,26.646080841525,-80.4299536176412
Florida,Pasco,51126,28.3252162066485,-82.4814746485412
Florida,Pinellas,89679,27.8918328888516,-82.7236653259071
Florida,Polk,54295,45.4689549730292,-92.5214109856334
Florida,Putnam,7945,38.4760254720374,-81.8804977819147
Florida,St. Johns,20193,29.9377541353038,-81.4193155341807
Florida,St. Lucie,23133,27.3822525041047,-80.4089544259621
Florida,Santa Rosa,22440,30.6587263829539,-87.0496988041093
Florida,Sarasota,39237,27.1674607720725,-82.3808785207831
Florida,Seminole,31031,35.159355709891,-96.6090862714698
Florida,Sumter,14071,33.9064013703574,-80.2699597762764
Florida,Suwannee,4653,30.1643454131367,-83.0056544713126
Florida,Taylor,2125,45.2065663936506,-90.4837666167028
Florida,Union,1687,36.2983092987609,-83.8358225156941
Florida,Volusia,54470,29.0227893549989,-81.1721250492721
Florida,Wakulla,3296,30.1307467064501,-84.4068005370647
Florida,Walton,6275,33.7634068746376,-83.7440260492111
Florida,Washington,2521,43.3678371717658,-88.2292533995712
Georgia,Appling,1256,31.7186855819956,-82.2996816462905
Georgia,Atkinson,458,31.3019016252403,-82.8848591210822
Georgia,Bacon,799,31.5640915327769,-82.4274767270806
Georgia,Baker,329,44.6689541798227,-117.6502030243
Georgia,Baldwin,4173,33.0566340804086,-83.2370455643864
Georgia,Banks,1066,34.3445845033952,-83.5038352948622
Georgia,Barrow,5825,34.0109973441496,-83.7032276196631
Georgia,Bartow,8142,34.245388321749,-84.8457836393094
Georgia,Ben Hill,1289,31.74968438876,-83.2378455335932
Georgia,Berrien,1520,42.0014897665105,-86.7155116679586
Georgia,Bibb,12474,32.8086436262932,-83.691028089259
Georgia,Bleckley,1073,32.4282582684484,-83.3184424311808
Georgia,Brantley,1398,31.1921058516037,-82.00889283961
Georgia,Brooks,1450,27.0223613406323,-98.2556632465285
Georgia,Bryan,3786,33.9264777751549,-96.1953872311472
Georgia,Bulloch,4985,32.4010593154164,-81.7329034632557
Georgia,Burke,1839,48.7730678381222,-102.480324969558
Georgia,Butts,2319,33.3122242419889,-83.9654175271996
Georgia,Calhoun,441,38.8284119076434,-81.1317266043275
Georgia,Camden,7016,36.3183085289315,-76.2145158822825
Georgia,Candler,849,32.4144587996307,-82.0864898526719
Georgia,Carroll,8251,36.7448921084704,-80.7481413696554
Georgia,Catoosa,5302,34.8775639874416,-85.1223729925687
Georgia,Charlton,956,30.717124135052,-82.1566871505707
Georgia,Chatham,28079,35.6959324860225,-79.2309997689138
Georgia,Chattahoochee,1069,32.3778602084185,-84.822184547708
Georgia,Chattooga,2003,34.4373809313868,-85.3173654867321
Georgia,Cherokee,17599,31.7840098974578,-95.1625094947127
Georgia,Clarke,6198,39.1220006065477,-77.9900475368282
Georgia,Clay,315,38.4658258646504,-81.0505297298349
Georgia,Clayton,22645,42.8628566099582,-91.2519370475555
Georgia,Clinch,564,30.8829177531663,-82.6950664267632
Georgia,Cobb,49712,33.9116011702017,-84.5573947402493
Georgia,Coffee,2465,35.4977401150319,-86.0747363332926
Georgia,Colquitt,2948,31.1803063058031,-83.7598254410458
Georgia,Columbia,15098,43.4640334688864,-89.3964084723273
Georgia,Cook,1324,47.7450686792047,-90.2575753234733
Georgia,Coweta,11807,33.3514227331233,-84.7563870804468
Georgia,Crawford,1022,43.2054434227805,-90.9409490184026
Georgia,Crisp,1627,31.9170779452879,-83.7854244556642
Georgia,Dade,1429,37.4305908385494,-93.8474396976608
Georgia,Dawson,2370,32.7429149578081,-101.948817593249
Georgia,Decatur,2186,35.6147356115299,-88.1072580955305
Georgia,DeKalb,41622,35.9787216006348,-85.8469451016495
Georgia,Dodge,1556,43.4142353857616,-88.704835093028
Georgia,Dooly,924,32.1600685918607,-83.8198231315577
Georgia,Dougherty,7435,31.5432923333995,-84.218207796556
Georgia,Douglas,12071,46.5251156387982,-91.9215112736671
Georgia,Early,901,31.2955018715857,-84.871182661626
Georgia,Echols,249,30.7305236192663,-82.8576601680502
Georgia,Effingham,6068,39.0636028544496,-88.5836397581942
Georgia,Elbert,1703,34.1225930485015,-82.8334610995437
Georgia,Emanuel,1371,32.566652941229,-82.324480691702
Georgia,Evans,794,32.1634684609897,-81.8718981129414
Georgia,Fannin,2146,33.6059295121235,-96.1159350975753
Georgia,Fayette,11625,38.0412422081286,-81.0649291755577
Georgia,Floyd,7181,36.915885526429,-80.3693559502243
Georgia,Forsyth,11996,36.117316265717,-80.2759595453276
Georgia,Franklin,1850,46.4662162357936,-118.833765841647
Georgia,Fulton,50488,39.9435689819559,-78.1226424328593
Georgia,Gilmer,2712,38.9136086281701,-80.8311381748634
Georgia,Glascock,164,33.2236276523331,-82.5938703221
Georgia,Glynn,8027,31.2217047122562,-81.4831130784249
Georgia,Gordon,3748,34.5091781676992,-84.8783823844874
Georgia,Grady,1835,35.0305884589297,-97.8830601373638
Georgia,Greene,1451,38.330031091792,-78.4744288915601
Georgia,Gwinnett,48027,33.960399291818,-84.0380147327189
Georgia,Habersham,3405,34.6273736180074,-83.5098350639134
Georgia,Hall,12360,34.5292180988037,-100.680323184843
Georgia,Hancock,693,40.5163469340419,-80.5931473358333
Georgia,Haralson,2219,33.7782063049638,-85.2117695514313
Georgia,Harris,4112,29.8333230318308,-95.4337426403546
Georgia,Hart,2063,37.2990707764977,-85.9047428768425
Georgia,Heard,882,33.278825527604,-85.1165732158193
Georgia,Henry,20353,36.6990938713797,-79.8677752575457
Georgia,Houston,20466,31.2607217073809,-95.3597699642705
Georgia,Irwin,662,31.6208893464614,-83.2496450793939
Georgia,Jackson,5061,44.3337999890057,-90.7391567859813
Georgia,Jasper,1157,30.7018170436338,-94.1625085032044
Georgia,Jeff Davis,815,30.7593513472548,-104.209093806932
Georgia,Jefferson,1167,43.0202505514008,-88.7746324063234
Georgia,Jenkins,800,32.7804447117527,-81.9562948642613
Georgia,Johnson,592,44.0278576537599,-106.688548320124
Georgia,Jones,2308,32.7374355003204,-99.8803223916364
Georgia,Lamar,1848,33.6607240870006,-95.581687992523
Georgia,Lanier,833,31.0167126030076,-83.084251445883
Georgia,Laurens,4124,34.494378737373,-81.9790939866558
Georgia,Lee,3230,36.7434921623585,-83.2232460955687
Georgia,Liberty,10463,30.1867480397885,-94.8036050292673
Georgia,Lincoln,878,42.4470341685537,-110.546086391476
Georgia,Long,1557,31.7766833494903,-81.7363033323847
Georgia,Lowndes,12524,33.5160163974273,-88.4602445080416
Georgia,Lumpkin,2417,34.5797754502014,-84.011415756592
Georgia,McDuffie,1870,33.4860175521714,-82.4712750411542
Georgia,McIntosh,1437,35.353876450705,-95.6638798548387
Georgia,Macon,1110,36.5257005458006,-86.0085388814279
Georgia,Madison,2319,38.4286272965331,-78.2678368438978
Georgia,Marion,875,39.5125855717795,-80.2165618317209
Georgia,Meriwether,1984,33.03803479635,-84.6763901597644
Georgia,Miller,535,38.2223724455244,-92.4392191233177
